Name,Etiology,Symptoms
ankylosing spondylitis,"Pathoanatomy
exact mechanism is unknown, but most likely due to an autoimmune reaction to an environmental pathogen in a genetically susceptible individual.
theories of relation to HLA-B27 include
HLA-B27 aggregates with peptides in the joint and leads to a degenerative cascade
cytotoxic T-cell autoimmune reaction against HLA-B27
enthesitis
entheses inflammation leads to bony erosion, surrounding soft-tissue ossification, and eventually joint ankylosis
preferentially targets sacroiliac joints, spinal apophyseal joints, symphysis pubis
this differentiates from RA, which is a synovial process
disc space involvement
inflammation of the annulus lead to bridging osteophyte formation (syndesmophytes)
Genetics
there is a genetic predisposition, but mode of inheritance is unknown
HLA-B27 is located on sixth chromosome, B locus
Diagnostic criteria
bilateral sacroiliitis
+/- uveitis
HLA-B27 positive (90% positive)
Systemic manifestations
acute anterior uveitis & iritis
heart disease (cardiac conduction abnormalities)
pulmonary fibrosis
renal amyloidosis
ascending aortic conditions (aortitis, stenosis, regurgitation)
Klebsiella pneumoniae synovitis
HLA-B27 individuals are more susceptible to Klebsiella pneumoniae synovitis
Orthopaedic manifestations
bilateral sacroiliitis
progressive spinal kyphotic deformity
cervical spine fractures
large-joint arthritis (hip and shoulder)","lumbosacral pain and stiffness
present in most patients
worse in morning
insidious onset in 3rd decade of life
neck and upper thoracic pain
occurs later in life
acute neck pain should raise suspicion for fracture
sciatic
likely originates from sciatic nerve involvement in the pelvis (piriformis spasm)
loss of horizontal gaze
shortness of breath
caused by costovertebral joint involvement, leading to reduced chest expansion"
proximal humerus fractures,"Pathophysiology
mechanism
low-energy falls
elderly with osteoporotic bone
high-energy trauma
young individuals
concomitant soft tissue and neurovascular injuries
pathoanatomy
vascularity of articular segment is more likely to be preserved if
? 8mm of calcar
is attached to articular segment
predictors of humeral head ischemia (Hertel criteria)
<8 mm of calcar length
attached to articular segment
disrupted
medial hinge
increasing fracture complexity
displacement >10mm
angulation >45°
predictors of humeral head ischemia does not necessarily predict subsequent avascular necrosis
Associated conditions
nerve injury
axillary
nerve injury most common
arterial injury
uncommon (incidence 5-6%), higher likelihood in older patients
most often occur at level of surgical neck or with subcoracoid dislocation of the head","pain and swelling
decreased motion"
idiopathic chondromalacia patellae,"Pathophysiology
pain generator is not clearly understood and multi-factorial
may result from roughening or damage to the undersurface cartilage of the patella
numerous factors have been proposed including
limb malaligment
muscle weakness
chondral lesions
patella maltracking
patella maltracking can create narrow contact pressure points and further attenuate pain.
elevated contact pressures between patella and femoral groove are associated with anterior knee pain
Associated conditions
miserable malalignment syndrome
a term coined for anatomic characteristics that lead to an increased Q angle and an exacerbation of patellofemoral dysplasia. They include
femoral anteversion
genu valgum
external tibial torsion / pronated feet","diffuse pain in the peripatellar or retropatellar area of the knee (major symptom)
insidious onset and typically vague in nature
aggravated by
specific daily activities including
climbing or descending stairs
prolonged sitting with knee bent (known as theatre pain)
squatting or kneeling
always consider the physical, mental and social elements of knee pain"
meniscal tears,"Pathophysiology
medial tears
more common than lateral tears
the exception is in the setting of an acute ACL tear where
lateral tears
are more common
degenerative tears in older patients usually occur in the
posterior horn medial meniscus
lateral tears
more common in acute ACL tears","pain localizing to medial or lateral side
mechanical symptoms
(locking and clicking), especially with squatting
delayed or intermittent swelling"
melanoma,"Forms
types include
acral lentiginous melanoma
subungual melanoma is a subtype of ALM
Pathophysiology
progresses through phases of growth",itching or bleeding
legg calve perthes disease,"Pathophysiology
osteonecrosis occurs secondary to disruption of blood supply to femoral head
followed by revascularization with subsequent resorption and later collapse
creeping substitution provides pathway for remodeling after collapse
proposed mechanisms
possible association with abnormal clotting factors (Protein S and Protein C deficiencies)
controversial etiology
thrombophilia has been reported to be present in 50% of patients
up to 75% of affected patients have some form of coagulopathy
repeated subclinical trauma and mechanical overload lead to bone collapse and repair (multiple-infarction theory)
damages result from epiphyseal bone resorption, collapse, and the effect of subsequent repair during the course of disease
maternal / passive smoking aggravates
Associated conditions
associated with ADHD in 33% of cases
bone age is delayed in 89% of patients","insidious onset
may cause painless limp
intermittent hip, knee
, groin or thigh pain"
synovial sarcoma,"Mechanism
mesenchymal soft tissue sarcoma with unknown cellular origin
synovial sarcoma is a misnomer due to the tumor's microscopic resemblance to mature synovium
Pathophysiology
synovial sarcoma typically shows high histologic grade
metastasis
metastasis may develop in 30-60% of patients
like other sarcomas, the lung
is most common site of metastasis
synovial sarcoma has been shown to have similar rates of lymph node metastasis compared to other soft tissue sarcomas
i.e angiosarcoma, clear cell sarcoma, rhabdomyosarcoma, epithelioid sarcoma
can stage with lymph node biopsy - called sentinel lymph node biopsy
while lymph node metastasis is a poor prognostic sign, it is not as bad as lung metastasis
metastasis is more common with large, deep, and high grade sarcomas
Genetics
chromosomal translocation t(X;18)
is observed in more than 90% of cases
translocation forms the SYT-SSX1, 2, or 4 fusion protein
SYT-SSX4 is rare
fusion proteins bind to BAF complex, which displaces the tumor suppressor BAF47
new BAF complex activates Sox2, which leads to tumor formation
SYT-SSX1 vs. SYT-SSX2
SYT-SSX1
SYT-SSX2
Frequency
More common (60% of tumors)
Less common (40% of tumors)
Histology type
Biphasic (contains both spindle cells and epithelial cells)
Monophasic (contains either spindle cells OR epithelial cells)
Gender
M:F = 1:1
M:F = 1:2
Presentation
Larger, with metastases
Smaller, without metastases
Survival
Worse
Better","typically present as a slow
growing mass in proximity to a joint
may be painless or painful
most commonly occur in periarticular locations
knee, shoulder, elbow, foot
60% are found in the lower extremity"
distal radius fractures  pediatric,"Pathophysiology
mechanism
usually fall on an outstretched hand, extended at wrist
often during sports or play
remodeling
greatest closer to physis and in plane of joint (wrist) motion
sagittal plane (flexion/extension)
least for rotational deformity","pain, swelling, and deformity"
patellar clunk syndrome,"Mechanism
A painful, palpable ""clunk"" at the patellofemoral articulation of
posterior stabilized TKA
caused by a fibrous nodule of scar tissue at the posterior surface of the distal quadriceps tendon/superior patellar pole catching on the box  of the femoral component during knee extension
Pathophysiology
cause of scar tissue is unknown, but may be related to:
direct trauma to quadriceps tendon during patella resection during TKA
impingement of the quadriceps tendon on the femoral component due to an undersized patellar component
scar is entrapped within the intercondylar notch during flexion
the scar is forced out of the notch during active knee extension
the painful snap or clunk is usually felt between 30-45 degrees","patellofemoral knee pain
complaints of knee ""popping"" and ""catching"""
pathologic scoliosis,"Causes
osteoid osteomas
occur in the apex of the concavity of the curve
curves are typically rigid
can occur in the vertebral body or posterior elements
demonstrate same histology as osteoid osteomas in the peripheral skeleton
osteoblastomas
larger lesion than osteoid osteoma
pain is usually less severe than osteoid osteoma
Mechanism
scoliosis is thought to develop in response to painful paraspinal muscle spasms","back pain
most commonly at night
pain relieved by anti-inflammatories
less relief reported with osteoblastomas"
quadrilateral space syndrome,"Pathophysiology
mechanism of injury
compression and reduction of quadrangular space due to
iatrogenic (tight fibrous bands, muscular hypertrophy)
paralabral cysts
(most commonly inferior labral tears)
trauma (scapular fracture, shoulder dislocation)
benign or malignant masses
pathomechanics
greatest amount of compression occurs when the arm is positioned in the late cocking phase of throwing (abduction and external rotation)","poorly localized pain of the posterior/lateral shoulder
often worse at night
worse with overhead activity or late cocking/acceleration phase of throwing
non-dermatomal distribution of paraesthesia along the lateral shoulder and arm
shoulder external rotation weakness"
turf toe,"Pathophysiology
mechanism of injury
forefoot is fixed to the ground
hallux
MTP joint
positioned in hyper-extension
axial load
is applied to the
heel
combination of force and joint positioning causes attenuation or tearing of the plantar capsular-ligamentous complex
pathoanatomy
tear to capsular-ligamentous-seasmoid complex
tear occurs off the proximal phalanx, not the metatarsal
Associated injuries
varus, valgus injuries to hallux MTP
sesamoid fracture
proximal migration of sesamoid
cartilaginous injury or loose body in hallux MTP joint
stress fracture
of proximal phalanx
hallux rigidus (late sequelae)","primary symptoms
acute pain
stiffness
swelling
defining characteristics
i
nability to push-off
reduced agility"
osteochondritis dissecans of elbow,"Pathophysiology
theorized to result from repetitive compression-type injury (overhead or upper extremity weight bearing activities) of the immature capitellum causing
vascular insufficiency
repetitive microtrauma
Associated conditions
Panner's disease (osteochondrosis of the capitellum)
typically presents in first decade of life (<10 years old)
usually
benign
self-limiting course
same mechanism of injury as OCD
surgery is contraindicated for Panner disease (unlike OCD elbow)","elbow pain
insidious, activity-related onset of lateral elbow pain in dominant arm
mechanical symptoms
loss of extension
early sign
catching / locking / grinding
late signs if loose bodies present"
